what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494670552685
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494671070805
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494671162383
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494671163096
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494671165263
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494671165521
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494671677857
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494671679526
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494671680431
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494671680647
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494671684416
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494671685667
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494671699582
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494671700939
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494671703108
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494671718805
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494671965522
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494671977147
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494671980432
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494672016475
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494672263532
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494672345107
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494672346248
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494672355377
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494672360408
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494672369193
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494672375447
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494672389931
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494672390817
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494672433543
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494672442110
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494672442945
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494672443968
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494672450345
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494672453016
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494672459247
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494672460670
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494672505850
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494672508530
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494672517440
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494672518407
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1494672596081
error,log,,,"Internal Error",1494672610699
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1494672624358
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1494672626583
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1494672627311
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1494672652675
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1494672656560
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1494672662537
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494675247563
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494694843701
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494694861198
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494696242712
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494696512030
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494771132265
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494771300190
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494771329103
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494771330936
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494773756200
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494773757181
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494774187390
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494774190228
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494775365488
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1494775436019
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1494775480098
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1494775491238
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1494775512344
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1494775524896
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1494775602172
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1494775613626
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1494775627647
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1494775632552
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1494775632771
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1494775633188
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1494775818292
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1494775828151
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1494775844998
