what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1498313775255
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1498313778063
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1498313780881
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498313780891
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498313781892
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1498313798943
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1498313802599
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1498313803027
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1498313804160
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1498313806074
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498313806082
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498313806863
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1498313830446
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1498313841057
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1498313848486
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498313848494
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498313849581
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1498313852565
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1498313875627
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1498313890157
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1498313891919
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1498313894473
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1498313897941
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498313897955
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498313899255
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1498313903298
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1498313934172
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1498313938728
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1498313944460
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1498313947367
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1498313950285
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498313950293
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498313951001
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1498313988459
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498313988631
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498313989907
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498313990014
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1498313991246
