what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1497688279756
locale,sysinfo,,,"en_US",1497688279756
processors,sysinfo,,,"4",1497688279757
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1497688279757
java.runtime.version,sysinfo,,,"1.7.0_51-b13",1497688279757
java.specification.name,sysinfo,,,"Java Platform API Specification",1497688279757
java.specification.vendor,sysinfo,,,"Oracle Corporation",1497688279757
java.specification.version,sysinfo,,,"1.7",1497688279757
java.vendor,sysinfo,,,"Oracle Corporation",1497688279757
java.version,sysinfo,,,"1.7.0_51",1497688279757
java.vm.info,sysinfo,,,"mixed mode, sharing",1497688279757
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1497688279757
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1497688279757
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1497688279757
java.vm.specification.version,sysinfo,,,"1.7",1497688279757
java.vm.vendor,sysinfo,,,"Oracle Corporation",1497688279757
java.vm.version,sysinfo,,,"24.51-b03",1497688279757
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1497688279934
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1497688280234
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1497688280537
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1497688280582
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1497688280782
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1497688280810
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1497688281301
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1497688281943
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1497688283105
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1497688283883
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1497688284373
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1497688285017
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1497688289965
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1497688420346
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497688425181
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497688707459
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1497688714103
