what,kind,bundleId,bundleVersion,description,time
error,log,,,"Internal Error",1497033221998
error,log,,,"Internal Error",1497033222004
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497033238027
error,log,,,"Internal Error",1497033241490
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497033276125
error,log,,,"Internal Error",1497033279694
error,log,,,"Internal Error",1497033279700
error,log,,,"Internal Error",1497033282855
error,log,,,"Internal Error",1497033282993
error,log,,,"Internal Error",1497033287622
error,log,,,"Internal Error",1497033292979
error,log,,,"Internal Error",1497033293834
error,log,,,"Internal Error",1497033298095
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497033307370
error,log,,,"Internal Error",1497033310422
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497033335314
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497033352865
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1497033357480
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1497033357698
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1497033357871
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1497033358067
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1497033361518
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1497033413270
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497033434120
error,log,,,"Internal Error",1497033452963
error,log,,,"Internal Error",1497033452970
error,log,,,"Internal Error",1497033452977
error,log,,,"Internal Error",1497033452983
error,log,,,"Internal Error",1497033452990
error,log,,,"Internal Error",1497033452998
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497033458735
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497033463372
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497033473867
error,log,,,"Internal Error",1497033474541
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497033477049
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497033503802
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1497033528519
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497033535806
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497033569545
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497033578777
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497033581920
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497033615897
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497033633449
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497033640524
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497033652278
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497033654128
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1497033672294
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497033674681
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497033676822
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497033693286
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497033805351
