what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1497707021892
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1497707023204
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1497707023448
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1497707024382
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1497707024713
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1497707029415
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1497707634135
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1497707639820
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497707644173
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1497707682781
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1497707682880
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497707683785
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1497707683973
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1497707684053
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1497707696172
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1497707751102
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1497707751161
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497707751529
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497707761056
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1497707781643
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497707782164
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497720252185
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497720260376
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497720264745
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497720269969
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497720270643
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497720270926
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497720273712
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497720276232
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497720292967
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497720293140
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497720295586
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497720297780
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1497720300345
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497720309304
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497720309423
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1497720318201
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497720327574
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497720333181
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497720339280
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1497720356552
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1497720358616
