what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496475056272
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496475058511
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1496475060964
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496475065069
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496475089520
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1496475097987
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1496475109699
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1496475111646
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496475112338
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496475116391
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496475125441
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496475141624
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496475152263
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496475154839
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496475171366
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496475173615
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496475202286
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496475205567
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496475212881
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496475296562
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496475298671
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496475306544
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1496475322184
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496475328503
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496475329662
